Ка;__;
б;____;
в;___;
г;___;
д;___;
Ю;.;
е;_;
ж;____;
з;____;
и;__;
й;____;
к;___;
л;____;
м;__;
н;__;
о;___;
п;____;
р;___;
с;___;
т;_;
у;___;
ф;____;
х;____;
ц;____;
ч;____;
ш;____;
щ;____;
ъ;_____;
ы;____;
ь;____;
э;_____;
ю;____;
Я;____;
К1;_____;
К2;_____;
К3;_____;
К4;_____;
К5;_____;
К6;_____;
К7;_____;
К8;_____;
К9;_____;
К0;_____;
.;______;
,;______;
:;______;
";";______;
"""";______;
-;______;
/;_____;
_;______;
?;______;
!;______;
+;_____;
@;______;
;;
;;
;;
;;
;;